img_url,folio,caption,manuscrit,artiste,lieu,date
https://gallica.bnf.fr/iiif/ark:/12148/btv1b8406160j/f386/full/max/0/default.jpg,f. 187v,Flore : mandragore,Arabe 2178,- Artiste non identifié,- Origine inconnue,- Hégire 1176 = 1762-1763
https://gallica.bnf.fr/iiif/ark:/12148/btv1b8422959z/f33/full/max/0/default.jpg,f. 12r,Flore : mandragore,Arabe 2850,- Artiste non identifié,- Espagne,- XIIe-XIIIe siècles
https://gallica.bnf.fr/iiif/ark:/12148/btv1b84229648/f229/full/max/0/default.jpg,f. 92r,Flore : mandragore,Arabe 4947,- Artiste non identifié,- Mésopotamie,- XIIe siècle
https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000422n/f250/full/max/0/default.jpg,f. 121v,Flore : mandragore,Français 623,- Artiste non identifié,- France,- XVe siècle (2e moitié)
https://gallica.bnf.fr/iiif/ark:/12148/btv1b81017714/f218/full/max/0/default.jpg,f. 180r,Flore : mandragore,Français 1307,- Artiste non identifié,- Poitou (France),- Vers 1480
https://gallica.bnf.fr/iiif/ark:/12148/btv1b81016726/f39/full/max/0/default.jpg,f. 23v,Flore : mandragore,Français 1310,- Artiste non identifié,- France (Ouest),- XVe siècle (milieu)
https://gallica.bnf.fr/iiif/ark:/12148/btv1b81009592/f56/full/max/0/default.jpg,f. 255v,Flore : mandragore,Français 1444,- Artiste non identifié,- France (Nord),- 3e-4e quart
https://gallica.bnf.fr/iiif/ark:/12148/btv1b52507230r/f42/full/max/0/default.jpg,f. 16v,Bible,Français 1753,- Artiste non identifié,- Saint-Quentin (France),- 1350
https://gallica.bnf.fr/iiif/ark:/12148/btv1b60004232/f369/full/max/0/default.jpg,f. 182r,Flore : mandragore,Français 9136,- Maître du Boèce Flamand,- Gand (Belgique),- Vers 1480
https://gallica.bnf.fr/iiif/ark:/12148/btv1b8101701g/f270/full/max/0/default.jpg,f. 205v,Flore : mandragore,Français 9137,- Artiste non identifié,- Bourgogne,- XVe siècle (2e moitié)
https://gallica.bnf.fr/iiif/ark:/12148/btv1b8101684d/f223/full/max/0/default.jpg,f. 210v,Flore : mandragore,Français 12319,- Artiste non identifié,- France (Nord),- XVe siècle (3e quart)
https://gallica.bnf.fr/iiif/ark:/12148/btv1b81016830/f198/full/max/0/default.jpg,f. 124v,Flore : mandragore,Français 12320,- Artiste non identifié,- France (Nord),- XVe siècle (milieu)
https://gallica.bnf.fr/iiif/ark:/12148/btv1b8101685t/f202/full/max/0/default.jpg,f. 148v,Flore : mandragore,Français 12321,- Artiste non identifié,- France (Nord),- XVe siècle (milieu)
https://gallica.bnf.fr/iiif/ark:/12148/btv1b8011817q/f1/full/max/0/default.jpg,f. 161r,Flore : mandragore,Français 12322,- Artiste non identifié,- France (Ouest),- Vers 1520-1530
https://gallica.bnf.fr/iiif/ark:/12148/btv1b8011856t/f1/full/max/0/default.jpg,f. 180v,Flore : mandragore,Français 12322,- Artiste non identifié,- France (Ouest),- Vers 1520-1530
https://gallica.bnf.fr/iiif/ark:/12148/btv1b55013438c/f343/full/max/0/default.jpg,f. 167r,Flore : mandragore,Français 14964,- Artiste non identifié,- France (Nord),- XIIIe siècle (3e quart)
https://gallica.bnf.fr/iiif/ark:/12148/btv1b7809935x/f1/full/max/0/default.jpg,f. 61v,Récolte de la mandragore,Français 14969,- Artiste non identifié,- Angleterre,- XIIIe siècle (3e quart)
https://gallica.bnf.fr/iiif/ark:/12148/btv1b8100362g/f33/full/max/0/default.jpg,f. 27v,Récolte de la mandragore,Français 14970,- Artiste non identifié,- Hainaut,- Vers 1285
https://gallica.bnf.fr/iiif/ark:/12148/btv1b8101704q/f197/full/max/0/default.jpg,f. 127r,Flore : mandragore,Français 19081,- Artiste non identifié,- Flandre,- XVe siècle (milieu)
https://gallica.bnf.fr/iiif/ark:/12148/btv1b52513913v/f525/full/max/0/default.jpg,f. 261r,Flore : mandragore,Français 22532,- Artiste non identifié,- Paris (France),- XVe siècle (3e quart)
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10527646p/f166/full/max/0/default.jpg,f. 76v,Faune : éléphant mangeant de la mandragore,Français 24428,- Artiste non identifié,- France (Nord),- 1265
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10527646p/f168/full/max/0/default.jpg,f. 77v,Récolte de la mandragore,Français 24428,- Artiste non identifié,- France (Nord),- 1265
https://gallica.bnf.fr/iiif/ark:/12148/btv1b7853423h/f1/full/max/0/default.jpg,p. 15,Faune : éléphant mangeant de la mandragore,Grec 834,- Artiste non identifié,- Rome (Italie),- 1585
https://gallica.bnf.fr/iiif/ark:/12148/btv1b525002505/f214/full/max/0/default.jpg,f. 103v,Flore : mandragore,Grec 2179,- Artiste non identifié,- Palestine,(et al.)
https://gallica.bnf.fr/iiif/ark:/12148/btv1b525002505/f215/full/max/0/default.jpg,f. 104r,Flore : mandragore,Grec 2179,- Artiste non identifié,- Palestine,(et al.)
https://gallica.bnf.fr/iiif/ark:/12148/btv1b525002505/f217/full/max/0/default.jpg,f. 105r,Flore : mandragore,Grec 2179,- Artiste non identifié,- Palestine,(et al.)
https://gallica.bnf.fr/iiif/ark:/12148/btv1b52509195s/f32/full/max/0/default.jpg,f. 13v,Flore : mandragore,Grec 2180,- Artiste non identifié,- Origine inconnue,- 3e-4e quart
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10521259v/f234/full/max/0/default.jpg,f. 104v,Flore : mandragore,Grec 2183,- Artiste non identifié,- Constantinople/Istanbul (Turquie),- XVe siècle
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10521259v/f235/full/max/0/default.jpg,f. 105r,Flore : mandragore,Grec 2183,- Artiste non identifié,- Constantinople/Istanbul (Turquie),- XVe siècle
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10521259v/f328/full/max/0/default.jpg,f. 151v,Flore : mandragore,Grec 2183,- Artiste non identifié,- Constantinople/Istanbul (Turquie),- XVe siècle
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10545274f/f111/full/max/0/default.jpg,f. 22v,Récolte de la mandragore,Hébreu 1199,- Artiste non identifié,- Italie (Nord),- XVe-XVIe siècles
https://gallica.bnf.fr/iiif/ark:/12148/btv1b7895447n/f1/full/max/0/default.jpg,f. 40r,Faune : éléphant mangeant de la mandragore,Latin 2495B,- Artiste non identifié,- France,- XIIIe siècle (1er quart)
